place_id,place_name_ko,place_name_en,category,area,image_url,image_source,license_type,attribution,latitude,longitude,recommended_time,crowd_level,note
01953653a8a2e279ecab3087df280fd2,HDC아이파크몰,HDC I'Park Mall,Shopping Center,Yongsan-gu,,,,,37.52881668,126.9645328,,,
01e79fc8250ddb6ecb15f44f0ba5333c,대한민국예술인센터,Korea Artist Center,Art Center,Yangcheon-gu,,,,,37.52701973,126.8709092,,,
034449c8eea9c7448f6623888d85976b,길상사,Gilsangsa Temple,Temple,Seongbuk-gu,,,,,37.59896083,126.9944015,,,
04ca0327428ef426296aca487a49cd2a,LG아트센터서울,LG Arts Center Seoul,Art Center,Gangseo-gu,,,,,37.56536922,126.8292781,,,
09b13816bce6705b422fc4e03e209f80,이촌한강공원,Ichon Hangang Park,Park,Yongsan-gu,,,,,37.51724044,126.9705266,,,
0a1ce1c3edf210408700cc3c81c6ac0e,북악스카이웨이,Bugak Skyway,Tourist Attraction,Jongno-gu,,,,,37.60085082,126.9770843,,,
0dbd06a951bc9bad4fe1a88433064c08,은평한옥마을,Eunpyeong Hanok Village,Tourist Attraction,Eunpyeong-gu,,,,,37.64117744,126.9377512,,,
0dfeeac49a5f9056fd1833a00b47a7a4,낙산공원,Naksan Park,Park,Jongno-gu,,,,,37.58056967,127.0075218,,,
0e03b478d11a02389c59e2a7d8e288fa,현대시티아울렛/가산점,Hyundai City Outlet/Gasan Branch,Shopping Center,Geumcheon-gu,,,,,37.4776919,126.8890469,,,
0e105f50aee89d36873278b77072de7f,남산공원,Namsan Park,Park,Jung-gu,,,,,37.5509895,126.9908991,,,
0ec5ba872f1179835987f9028c4cc4df,남산서울타워,Namsan Seoul Tower,Tower,Yongsan-gu,,,,,37.55127433,126.988208,,,
13db262a7b0b994c18a9d27a5d14f383,서울상상나라,Seoul Sangsangnara,Museum,Gwangjin-gu,,,,,37.5508665,127.0775926,,,
1c45295721bfc99e1e95057334c189e0,서대문자연사박물관,Seodaemun Natural History Museum,Museum,Seodaemun-gu,,,,,37.57675226,126.9378581,,,
1d97509dda804ea7abc88d81971a0322,북서울꿈의숲,North Seoul Dream Forest,"Forest, Park",Gangbuk-gu,,,,,37.62360651,127.0415725,,,
1e14f5c731dc93b1886b7dfd8e078ff2,고려대아이스링크,Korea University Ice Rink,Ice Rink,Seongbuk-gu,,,,,37.59350527,127.0261564,,,
1e7e1c95ad993fbfa0a1906e8e0fbef9,평화의공원,Peace Park,Park,Mapo-gu,,,,,37.56247083,126.8949472,,,
1f23ef7439869eb0ae534277e8d46c53,신세계백화점/타임스퀘어점,Shinsegae Department Store/Times Square Branch,Shopping Center,Yeongdeungpo-gu,,,,,37.51719015,126.9055666,,,
23c0e519b9f507a3d130b518ade94d73,잠원한강공원,Jamwon Hangang Park,Park,Seocho-gu,,,,,37.52733381,127.0190467,,,
264e64c62489fa01b31c520b75eb608e,신라면세점/서울점,The Shilla Duty Free Shop/Seoul Branch,Shopping Center,Jung-gu,,,,,37.55715368,127.0077299,,,
273e0e5b0ac26479b4d07c1f7be5b5a0,잠실야구장,Jamsil Baseball Stadium,Baseball Stadium,Songpa-gu,,,,,37.51215138,127.0719095,,,
2e3a36ee173e08b847427ffbcb479d30,노량진수산시장,Noryangjin Fish Market,Market,Dongjak-gu,,,,,37.51476619,126.937776,,,
2eb38024dd7d0825481ea983f7dd1479,현대백화점/압구정본점,Hyundai Department Store/Apgujeong Main Branch,Shopping Center,Gangnam-gu,,,,,37.5273727,127.0274682,,,
33625baae25e41111d995165a5101577,마리오아울렛,Mario Outlet,Shopping Center,Geumcheon-gu,,,,,37.47807302,126.8871368,,,
338ad1e936f8ccd7e1eaf315f53590bc,선유도공원,Seonyudo Park,Park,Yeongdeungpo-gu,,,,,37.54367308,126.8998573,,,
34e3820ca66c485262aeaabaf4bdda5c,롯데백화점/에비뉴엘월드타워점,Lotte Department Store/Avenuel World Tower Branch,Shopping Center,Songpa-gu,,,,,37.51201142,127.0985553,,,
34fc31720ce1b1ab18191a852120231f,석촌호수,Seokchon Lake,"Park, Lake",Songpa-gu,,,,,37.50768073,127.0991128,,,
35b40620245d33f92227e62f5d890917,진관사,Jingwansa Temple,Temple,Eunpyeong-gu,,,,,37.63803747,126.9468857,,,
3e96b13deafa531029eecb91f085a2f9,서서울호수공원,Seoseoul Lake Park,"Park, Lake",Yangcheon-gu,,,,,37.52831979,126.8302517,,,
42eaa57b48549bc6c48d6377a40419d5,광장시장,Gwangjang Market,Market,Jongno-gu,,,,,37.5700553,126.9989473,,,
48d711bc1a903d95d891501dd96cdf06,경복궁,Gyeongbokgung Palace,Palace,Jongno-gu,,,,,37.57761329,126.9768979,,,
4a7662799ae41340ff85a9dc5c85bec5,롯데백화점/강남점,Lotte Department Store/Gangnam Branch,Shopping Center,Gangnam-gu,,,,,37.49695949,127.0532811,,,
4ad99170855561c905cd752d5890235a,국립극장,National Theater,Theater,Jung-gu,,,,,37.55281923,126.99957,,,
4b7e5ed44c5764c2b0a8043945483e69,청와대,Blue House,Government Office,Jongno-gu,,,,,37.5826761,126.9732338,,,
4c259dd1d968533026e3c9a60cc4c34a,서울숲,Seoul Forest,"Forest, Park",Seongdong-gu,,,,,37.54432223,127.0376178,,,
4c625f7eb0034dc906c595e832042589,동대문종합시장,Dongdaemun General Market,Market,Jongno-gu,,,,,37.57042086,127.0076192,,,
4d184ef15ff70f47adf62843e9a57292,현대백화점/무역센터점,Hyundai Department Store/Trade Center Branch,Shopping Center,Gangnam-gu,,,,,37.50865144,127.0597748,,,
4f7b56aaee78410f20a2b9ae7a0de162,가락동농수산물도매시장,Garak-dong Agricultural and Marine Products Wholesale Market,Market,Songpa-gu,,,,,37.49280555,127.1088587,,,
5195670748216dd85fe16c4b278c2db4,롯데면세점/본점,Lotte Duty Free Shop/Main Store,Shopping Center,Jung-gu,,,,,37.56487677,126.9817542,,,
5877109bc88136ac4ee7f265d9568d0a,북촌한옥마을,Bukchon Hanok Village,Tourist Attraction,Jongno-gu,,,,,37.58176815,126.9848125,,,
595854ec5dc8c648f6a10cb3a5b4f02b,아쿠아리움코엑스몰점,Aquarium COEX Mall Branch,Aquarium,Gangnam-gu,,,,,37.51340939,127.0584834,,,
5ab2679fc831d22deb0d03c6f2b12d3a,현대백화점/미아점,Hyundai Department Store/Mia Branch,Shopping Center,Seongbuk-gu,,,,,37.60848273,127.0287483,,,
5df204f08b71197845dcd3d1c3540138,롯데월드어드벤쳐,Lotte World Adventure,Theme park,Songpa-gu,,,,,37.5111306,127.0981198,,,
5e62c10f934eff919879ed59a15d2d6e,IFC몰,IFC Mall,Shopping Center,Yeongdeungpo-gu,,,,,37.52504158,126.9258959,,,
6257a372012ce4533ac095b54fd0225d,잠실한강공원,Jamsil Hangang Park,Park,Songpa-gu,,,,,37.51779926,127.0823578,,,
6494c84bb564fef63523d6f0acc50031,4.19기념탑,4.19 Memorial Tower,Tourist Attraction,Gangbuk-gu,,,,,37.64854389,127.0068533,,,
666decfe99780bb1046fd1bb6f76f965,롯데백화점/청량리점,Lotte Department Store/Cheongnyangni Branch,Shopping Center,Dongdaemun-gu,,,,,37.58082967,127.0476837,,,
69613def5e53b5ef3d8026a44b78b0c9,국립항공박물관,National Aviation Museum,Museum,Gangseo-gu,,,,,37.55686859,126.8088693,,,
6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,Children's Grand Park,Theme Park,Gwangjin-gu,,,,,37.55147044,127.0837891,,,
6bd1fae491bc88313eeec9e2a57e4b00,현대백화점/신촌점,Hyundai Department Store/Sinchon Branch,Shopping Center,Seodaemun-gu,,,,,37.5561535,126.9358165,,,
6d51b962202065af6259c46a63e64352,현대시티아울렛/동대문점,Hyundai City Outlet/Dongdaemun Branch,Shopping Center,Jung-gu,,,,,37.56878104,127.0076972,,,
6d90ad8979e581ffa649eba19ff41f4f,노들섬,Nodeul Island,Island,Yongsan-gu,,,,,37.51766014,126.9580339,,,
6e83a36a9b7bd04680c637b8f44a99ab,봉은사,Bongeunsa Temple,Temple,Gangnam-gu,,,,,37.51551811,127.0577103,,,
72052bd332dcb27c72a17ad8b6cf960a,국립현대미술관/서울관,National Museum of Modern and Contemporary Art/Seoul,Museum,Jongno-gu,,,,,37.57862749,126.980098,,,
73bc00a87254e3456a406922d1ca45a4,롯데월드아쿠아리움,Lotte World Aquarium,Aquarium,Songpa-gu,,,,,37.50673592,127.1039455,,,
7604329d44b67a24da33a6315b69679d,코엑스마곡,COEX Magok,Convention Center,Gangseo-gu,,,,,37.56628383,126.8262538,,,
767eb3c379efa3729418cfbf802ec713,세빛섬,Some Sevit,Island,Seocho-gu,,,,,37.51233177,126.9958885,,,
786334c456d663f31d4ccb7da327b08d,키자니아서울점,KidZania Seoul Branch,Theme park,Songpa-gu,,,,,37.51087571,127.0969183,,,
79df877bdf5c79a7c30ed697c542b575,광화문,Gwanghwamun,Tourist Attraction,Jongno-gu,,,,,37.57596446,126.9768531,,,
7a26ab6765d89defa50ba1df5722052c,고척스카이돔,Gocheok Sky Dome,Baseball Stadium,Guro-gu,,,,,37.49821221,126.867089,,,
7a619ea2f5b7aff78b25a9865a3431fe,롯데백화점/영등포점,Lotte Department Store/Yeongdeungpo Branch,Shopping Center,Yeongdeungpo-gu,,,,,37.51601481,126.907292,,,
7b942fba5f145f4c0214de39c21315a8,롯데몰/김포공항점,Lotte Mall/Gimpo Airport Branch,Shopping Center,Gangseo-gu,,,,,37.56336618,126.8031482,,,
7d58cfcd075b17d0762b9c4e0178fd7b,갤러리아백화점,Galleria Department Store,Shopping Center,Gangnam-gu,,,,,37.52842775,127.0401439,,,
7d695ef6ddab266ec87ec8c9c56aca69,신사동가로수길,Sinsa-dong Garosu-gil,Street,Gangnam-gu,,,,,37.52092917,127.0228869,,,
81bf1d15ad057d0cc8f1eb7bc402dd7c,전쟁기념관,war memorial,Museum,Yongsan-gu,,,,,37.53706845,126.977088,,,
86d742ac9b8bfe2759a2764a25cc7e71,고척근린공원,Gocheok Neighborhood Park,Park,Guro-gu,,,,,37.50516842,126.8523005,,,
88a408abae8e6b955e99b5df087fd46d,송파근린공원,Songpa Neighborhood Park,Park,Songpa-gu,,,,,37.50646423,127.1094802,,,
8930f0b4a98b760f2a7bf5345eceb251,서대문형무소역사관,Seodaemun Prison History Museum,Museum,Seodaemun-gu,,,,,37.57460869,126.9556122,,,
8b750c0dbf493b5bcb1d02c318646fbb,남대문시장,Namdaemun Market,Market,Jung-gu,,,,,37.55918176,126.9776268,,,
8ba57fda99dae27f1df09914dc84eb37,서울월드컵경기장,Seoul World Cup Stadium,Stadium,Mapo-gu,,,,,37.56825004,126.8972437,,,
8baf3a74f2ae5c8d592cd9d9000fa931,대한극장,Daehan Theater,Theater,Jung-gu,,,,,37.52448522,127.0264716,,,
8dd0e38809aa6457b8c84502f9a33111,뉴코아아울렛/강남점,New Core Outlet/Gangnam Branch,Shopping Center,Seocho-gu,,,,,37.50921413,127.0075779,,,
8f9c104f2123fcd914e1cf5de0baef0b,서울식물원,Seoul Botanical Garden,Garden,Gangseo-gu,,,,,37.56939585,126.8350372,,,
94b37da181384604e8bdf68b3217008e,여의도한강공원,Yeouido Hangang Park,Park,Yeongdeungpo-gu,,,,,37.5263886,126.9351293,,,
96c9f8faabe01bddf00214ba64e6f7b3,예술의전당,Seoul Arts Center/Concert Hall,Art Center,Seocho-gu,,,,,37.4794461,127.0137536,,,
97aaae6f3dd7bc0f0c7f8a147b316754,롯데백화점/잠실점,Lotte Department Store/Jamsil Branch,Shopping Center,Songpa-gu,,,,,37.51201142,127.0985553,,,
97c0a1427be208a8ca50e879baa895c4,올림픽공원,Olympic Park,Park,Songpa-gu,,,,,37.5206868,127.1214941,,,
9d58042af96868b01de11722f6a2975f,망원한강공원,Mangwon Hangang Park,Stadium,Mapo-gu,,,,,37.55172455,126.9000276,,,
9dac72fa7ebfaa2eca0d9f9e4e8ddcff,팔각정북악스카이,Octagonal Jeongbukak Sky,Tourist Attraction,Jongno-gu,,,,,37.60159027,126.9806581,,,
9e706eb1858168cf34f24b6659d3610d,가든파이브라이프,Garden Five Life,Shopping Center,Songpa-gu,,,,,37.47779072,127.1247913,,,
9fb8dce4c46fe540ea859737971abc3f,신세계백화점/본점신관,Shinsegae Department Store/Main Store New Building,Shopping Center,Jung-gu,,,,,37.56094832,126.9810896,,,
aa6be6a4f5997ab91804f3b6be58e878,코엑스,COEX,Convention Center,Gangnam-gu,,,,,37.51182418,127.0591586,,,
ab674d5a42fb46f11eddae3629a6764a,북악팔각정,Bukak Octagonal Pavilion,Tourist Attraction,Jongno-gu,,,,,37.60159027,126.9806581,,,
ac364ac5b7a88c24c39f1ecd406a7970,더현대/서울,The Hyundai/Seoul,"Seoul, Park",Yeongdeungpo-gu,,,,,37.52587207,126.9284461,,,
ac50c8b01e74f605a64ac86543f58c2a,헌릉과인릉,Heonreung and Inreung Royal Tombs,Tombs,Seocho-gu,,,,,37.46536443,127.0820878,,,
aca9b1d0603bb64ce5a9b6dc2ff669b8,원그로브,One Grove,Shopping Center,Gangseo-gu,,,,,37.5617591,126.8260921,,,
acb5329d44aa939655c89c85fe40ceb9,충무아트센터,Chungmu Art Center,Art Center,Jung-gu,,,,,37.56601611,127.0148097,,,
b2e840beb2fcb66bb33d988c822656ad,뚝섬한강공원,Ttukseom Hangang Park,Park,Gwangjin-gu,,,,,37.52929744,127.0689211,,,
b35baf66f56313e6033cd1969ca7f85c,경동시장,Gyeongdong Market,Market,Dongdaemun-gu,,,,,37.57903974,127.0394341,,,
b57f4f20f743d6df817eae3d98c6cda8,롯데백화점/건대스타시티점,Lotte Department Store/Konk University Star City Branch,Shopping Center,Gwangjin-gu,,,,,37.53899524,127.071408,,,
b7d97075178eca310d58040f02af4d8e,롯데월드몰,Lotte World Mall,Shopping Center,Songpa-gu,,,,,37.51260448,127.1025556,,,
b96ba24e2bcae69a2daaa92cdc5099c4,강서농산물도매시장,Gangseo Agricultural Products Wholesale Market,Market,Gangseo-gu,,,,,37.55304361,126.8207766,,,
b9d2bfcacff4b0c07f220ae8cb1c1c40,현대백화점/목동점,Hyundai Department Store/Mokdong Branch,Shopping Center,Yangcheon-gu,,,,,37.52665409,126.8752585,,,
bb9a3d1cb6a86e0f872560975ae87f8c,현대시티몰/가든파이브점,Hyundai City Mall/Garden Five Branch,Shopping Center,Songpa-gu,,,,,37.47792653,127.1241641,,,
c149fdce592db1c81dd524c675dddbcc,압구정로데오거리,Apgujeong Rodeo Street,Street,Gangnam-gu,,,,,37.52675582,127.039152,,,
c50a08b27bc772dc5b52460f1c5bfb55,신사공원,Sinsa Park,Park,Gangnam-gu,,,,,37.52678378,127.0214834,,,
c62041623aed24c9e722542f8029373f,잠실자동차극장,Jamsil Drive-in Theater,Theater,Songpa-gu,,,,,37.5172454,127.0687295,,,
c6b5964eb6deb72206d9bf59a6bb5268,신세계백화점/강남점,Shinsegae Department Store/Gangnam Branch,Shopping Center,Seocho-gu,,,,,37.50530573,127.0043203,,,
ce196c950c52d6a7f26097a553f7fadf,블루스퀘어,Blue Square,Theater,Yongsan-gu,,,,,37.54086115,127.0025482,,,
d09b874d48a8ca04e572c4cad24a7b2d,난지한강공원,Nanji Hangang Park,Park,Mapo-gu,,,,,37.56703991,126.8756078,,,
d0bf9d38c9879ba0402c43f4e39faa6d,롯데백화점/미아점,Lotte Department Store/Mia Branch,Shopping Center,Gangbuk-gu,,,,,37.6145928,127.0305176,,,
d1cb8a363709fec027313e3d55f16e39,밀리오레/동대문점,Migliore/Dongdaemun Branch,Shopping Center,Jung-gu,,,,,37.56811425,127.0084668,,,
d33c13ffda45959f62863fabc12896b4,망원시장,Mangwon Market,Market,Mapo-gu,,,,,37.55588596,126.9062659,,,
d62611042cec6817f6c27c140fdaeedb,보라매공원,Boramae Park,Park,Dongjak-gu,,,,,37.49328308,126.9205176,,,
d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,National Museum of Korea,Museum,Yongsan-gu,,,,,37.52392249,126.9801872,,,
e2a7ec7f0295916cd5aa4eb9dd436a67,광나루한강공원,Gwangnaru Hangang Park,Park,Gangdong-gu,,,,,37.5441338,127.1183162,,,
e32c668a30b563de4a999f3223f72a7f,하늘공원,Sky Park,Park,Mapo-gu,,,,,37.5685397,126.8868838,,,
e4806243e8a8e067cbf284622539cf51,타임스퀘어,Times Square,Shopping Center,Yeongdeungpo-gu,,,,,37.51729515,126.9039308,,,
e5712730c371e5fddd7474df6752b347,롯데백화점/본점,Lotte Department Store/Main Branch,Shopping Center,Jung-gu,,,,,37.5649056,126.9817541,,,
e8db6383a56dd839d95281dd990a271e,SETEC,SETEC,Convention Center,Gangnam-gu,,,,,37.49566838,127.0719299,,,
ea46c642f9a17c594ececca15acbfa14,응봉산팔각정,Eungbongsan Octagonal Pavilion,Observatory,Seongdong-gu,,,,,37.54782031,127.0299087,,,
eae638a0117eda42a27a586f77cc0cd3,반포한강공원,Banpo Hangang Park,Park,Seocho-gu,,,,,37.51081993,126.997161,,,
ec60a9ad10af3a227cb25f83f5f55cca,신세계면세점/명동점,Shinsegae Duty Free Shop/Myeongdong Branch,Shopping Center,Jung-gu,,,,,37.56052658,126.9806506,,,
eec50956d20173236f77305e3f3aaf1b,현대백화점/천호점,Hyundai Department Store/Cheonho Branch,Shopping Center,Gangdong-gu,,,,,37.53884197,127.1244433,,,
eecb51fa7fe2d093d4f424d359a09ac8,양화한강공원,Yanghwa Hangang Park,Park,Yeongdeungpo-gu,,,,,37.53780834,126.9029383,,,
efe0cec96bdcb5d3a95caa3c9e3062e7,조계사,Jogyesa Temple,Temple,Jongno-gu,,,,,37.57395882,126.9818561,,,
f3e805aa5152dd56293bfbc96bc4761f,도선사,pilot,Temple,Gangbuk-gu,,,,,37.65525781,126.9896951,,,
f407e3b51449ac974e9bb7664e545f96,KT&G상상마당홍대,KT&G Sangsang Madang Hongdae,Cultural Center,Mapo-gu,,,,,37.55100888,126.9210685,,,
f7882675350a7de4ebb9a05804a922be,롯데몰/은평점,Lotte Mall/Eunpyeong Branch,Shopping Center,Eunpyeong-gu,,,,,37.63828668,126.9179365,,,
f95c92fbfb23cf63c66bc192e52691e9,태릉국제스케이트장,Taereung International Skating Rink,Ice Rink,Nowon-gu,,,,,37.63873254,127.1029123,,,
